Cycle_ID,y_true,y_pred,error,abs_error
1,76.0,69.57680912698412,-6.4231908730158835,6.4231908730158835
2,39.0,40.653829365079396,1.653829365079396,1.653829365079396
3,35.0,45.75656124338619,10.756561243386187,10.756561243386187
4,41.0,39.541496296296266,-1.4585037037037338,1.4585037037037338
5,82.0,69.55569999999999,-12.444300000000013,12.444300000000013
6,70.0,73.06174523809521,3.061745238095213,3.061745238095213
7,78.1,70.04076944444445,-8.059230555555544,8.059230555555544
8,40.0,42.94320740740738,2.943207407407378,2.943207407407378
9,55.1,51.974206746031726,-3.1257932539682756,3.1257932539682756
10,50.0,54.09871732804229,4.098717328042291,4.098717328042291
11,41.0,41.55136190476194,0.55136190476194,0.55136190476194
12,60.0,49.98738373015869,-10.01261626984131,10.01261626984131
13,46.1,40.56527764550267,-5.534722354497333,5.534722354497333
14,49.0,52.11286216931213,3.1128621693121303,3.1128621693121303
15,49.0,47.297856216931194,-1.7021437830688058,1.7021437830688058
16,56.0,44.314551190476195,-11.685448809523805,11.685448809523805
17,43.0,59.92940036075034,16.929400360750343,16.929400360750343
18,38.9,50.59198571428573,11.691985714285728,11.691985714285728
19,47.0,42.17356587301585,-4.826434126984147,4.826434126984147
20,49.0,50.84856190476187,1.8485619047618727,1.8485619047618727
21,45.0,48.930267460317445,3.9302674603174452,3.9302674603174452
22,38.0,40.8491384920635,2.849138492063503,2.849138492063503
23,63.0,44.94249801587304,-18.057501984126958,18.057501984126958
24,64.0,70.5086873015873,6.508687301587301,6.508687301587301
