Cycle_ID,y_true,y_pred,error,abs_error
1,76.0,46.53284202622679,-29.46715797377321,29.46715797377321
2,39.0,30.3543062623353,-8.6456937376647,8.6456937376647
3,35.0,51.16854844741139,16.16854844741139,16.16854844741139
4,41.0,36.52295252860455,-4.477047471395451,4.477047471395451
5,82.0,53.70287319895367,-28.297126801046332,28.297126801046332
6,70.0,61.58920469206794,-8.410795307932062,8.410795307932062
7,78.1,59.98143151594413,-18.118568484055864,18.118568484055864
8,40.0,52.55737987770262,12.557379877702623,12.557379877702623
9,55.1,47.471098521006255,-7.628901478993747,7.628901478993747
10,50.0,58.367204530124184,8.367204530124184,8.367204530124184
11,41.0,44.735356288801185,3.735356288801185,3.735356288801185
12,60.0,61.12505368929233,1.1250536892923293,1.1250536892923293
13,46.1,50.12120504413655,4.0212050441365506,4.0212050441365506
14,49.0,55.77187214408418,6.771872144084178,6.771872144084178
15,49.0,56.08147329889651,7.081473298896512,7.081473298896512
16,56.0,58.10090113325952,2.1009011332595193,2.1009011332595193
17,43.0,54.926372996437244,11.926372996437244,11.926372996437244
18,38.9,61.11628383608736,22.216283836087364,22.216283836087364
19,47.0,52.518558998205755,5.518558998205755,5.518558998205755
20,49.0,49.622005902077774,0.622005902077774,0.622005902077774
21,45.0,46.70111345643871,1.701113456438712,1.701113456438712
22,38.0,46.81133307157518,8.811333071575177,8.811333071575177
23,63.0,50.5272808643541,-12.472719135645903,12.472719135645903
24,64.0,61.1129791807516,-2.8870208192483986,2.8870208192483986
