Cycle_ID,y_true,y_pred,error,abs_error
1,144.1,201.3876715576023,57.287671557602295,57.287671557602295
2,193.0,295.48395085721364,102.48395085721364,102.48395085721364
3,264.2,188.05855306860389,-76.1414469313961,76.1414469313961
4,235.3,239.26743366226475,3.967433662264739,3.967433662264739
5,82.0,161.64705654091082,79.64705654091082,79.64705654091082
6,81.2,147.03894288177847,65.83894288177846,65.83894288177846
7,119.2,119.18047474546901,-0.019525254530989855,0.019525254530989855
8,244.9,169.45050540871546,-75.44949459128455,75.44949459128455
9,219.9,200.16174445662645,-19.738255543373555,19.738255543373555
10,186.2,151.88297839995226,-34.317021600047724,34.317021600047724
11,234.0,207.20448765014564,-26.795512349854363,26.795512349854363
12,124.4,140.9599857351296,16.5599857351296,16.5599857351296
13,146.5,188.3856797529905,41.88567975299051,41.88567975299051
14,107.1,189.9275176816278,82.8275176816278,82.8275176816278
15,175.7,161.65043122162754,-14.049568778372446,14.049568778372446
16,130.2,160.7352369004116,30.535236900411604,30.535236900411604
17,198.6,175.19293092074207,-23.407069079257923,23.407069079257923
18,218.7,147.19885931764804,-71.50114068235195,71.50114068235195
19,285.0,170.1499208995446,-114.85007910045539,114.85007910045539
20,156.6,197.05810740062032,40.45810740062032,40.45810740062032
21,232.9,196.43833236361417,-36.46166763638584,36.46166763638584
22,212.5,204.25544932937783,-8.244550670622175,8.244550670622175
23,180.3,185.08852448347272,4.788524483472713,4.788524483472713
24,116.4,142.7658522400569,26.36585224005688,26.36585224005688
