Cycle_ID,y_true,y_pred,error,abs_error
1,144.1,124.84747780800993,-19.252522191990067,19.252522191990067
2,193.0,223.0461827451711,30.04618274517111,30.04618274517111
3,264.2,214.7684052179118,-49.43159478208818,49.43159478208818
4,235.3,248.63669972302716,13.336699723027152,13.336699723027152
5,82.0,115.12004632512316,33.120046325123155,33.120046325123155
6,81.2,96.22330874644459,15.023308746444584,15.023308746444584
7,119.2,89.84875954358091,-29.35124045641909,29.35124045641909
8,244.9,241.18874535100156,-3.711254648998448,3.711254648998448
9,219.9,181.11233674572406,-38.78766325427594,38.78766325427594
10,186.2,160.72810134463214,-25.471898655367852,25.471898655367852
11,234.0,211.69882918436195,-22.301170815638045,22.301170815638045
12,124.4,186.53338178738585,62.133381787385844,62.133381787385844
13,146.5,209.9887530462617,63.48875304626171,63.48875304626171
14,107.1,174.0357933405482,66.9357933405482,66.9357933405482
15,175.7,180.77171676012003,5.07171676012004,5.07171676012004
16,130.2,160.1944145249985,29.99441452499852,29.99441452499852
17,198.6,157.36252379049256,-41.237476209507435,41.237476209507435
18,218.7,156.10797681021288,-62.59202318978711,62.59202318978711
19,285.0,228.2083174844877,-56.79168251551229,56.79168251551229
20,156.6,184.04524004971583,27.445240049715835,27.445240049715835
21,232.9,196.16655295637352,-36.733447043626484,36.733447043626484
22,212.5,238.32034531015915,25.820345310159155,25.820345310159155
23,180.3,188.91704441947647,8.617044419476457,8.617044419476457
24,116.4,121.82207136910253,5.422071369102525,5.422071369102525
