month_from_start,pred_GRU,pred_LSTM,pred_TCN
1,4.4241486,0.0,6.34843
2,0.4504949,0.0,4.0469704
3,1.8598362,6.522027,4.478144
4,0.0,0.0,2.0005083
5,6.934239,2.779107,0.0
6,5.0400276,7.4420857,0.0
7,0.0,0.0,5.5708866
8,14.9184265,15.610986,15.078346
9,17.232578,17.322819,17.64375
10,6.306082,15.620872,14.846478
11,15.537585,14.619586,13.4625225
12,21.118462,15.641924,18.646694
13,18.040283,22.672756,14.543494
14,22.339079,20.592289,17.200531
15,26.488525,22.640974,17.887295
16,31.396221,25.40225,23.078583
17,24.656363,34.041058,19.740587
18,28.238274,33.536587,22.110964
19,34.08649,44.86631,26.65514
20,35.407032,47.6533,26.22898
21,40.447426,0.0,29.734926
22,56.808376,59.7483,44.26085
23,0.0,59.93921,38.791676
24,49.193672,79.15385,39.178894
25,49.707222,65.35151,37.42471
26,53.397648,70.67589,44.021343
27,67.25873,84.781265,55.50634
28,73.45657,96.73112,62.129868
29,67.51267,95.735344,52.853996
30,66.63468,103.42099,62.55259
31,69.601,92.49358,56.971817
32,71.49462,90.00715,61.970856
33,70.27081,90.993805,56.518555
34,90.07616,103.96022,80.996605
35,91.44423,98.73858,81.281555
36,83.1622,117.37419,74.98748
37,87.87148,115.272606,76.87783
38,96.46026,119.41331,78.1791
39,112.335625,132.85883,95.2344
40,111.17776,138.08034,90.60202
41,105.269226,118.29169,88.43772
42,108.60072,130.02318,91.7763
43,102.4857,116.7778,88.3289
44,111.86731,122.63964,99.72403
45,108.222374,125.507095,94.86628
46,110.60238,124.77177,98.149155
47,116.02067,122.28772,105.50194
48,116.064156,128.31049,101.38911
49,96.045235,105.04535,86.43055
50,0.0,127.423355,101.74682
51,116.17693,129.21178,102.315414
52,115.167755,121.22533,102.89774
53,113.87841,118.32315,101.904526
54,123.36082,128.68845,109.899086
55,121.825485,121.60789,110.43703
56,115.093765,108.06245,106.76259
57,113.54193,0.0,101.95791
58,97.9172,112.89155,91.83593
59,116.479645,123.728455,108.50015
60,125.3309,119.83008,113.67133
61,125.67682,114.81883,119.78909
62,141.26688,117.32526,132.87054
63,116.816826,120.20885,106.57841
64,124.63657,110.82298,115.79965
65,112.0598,109.13146,101.87905
66,119.862656,0.0,112.229
67,116.929955,109.84233,111.371056
68,119.963806,114.13843,115.410545
69,116.47828,98.347244,114.01013
70,116.75969,109.35871,109.55345
71,110.13122,102.24908,105.53699
72,115.38075,99.767166,114.097885
73,109.36952,100.82085,109.10772
74,96.309044,89.37473,92.89414
75,97.21292,84.38718,98.43717
76,100.87524,95.8735,98.99609
77,103.44152,76.55605,93.95751
78,98.37884,88.53098,98.30174
79,103.26021,85.85726,101.86536
80,107.99958,85.75816,105.65764
81,103.39341,73.01321,107.98772
82,91.99725,68.32288,89.78934
83,86.51965,72.327515,80.36297
84,91.838646,72.868576,90.60162
85,79.64989,64.999886,77.729294
86,75.72963,64.93935,74.16263
87,79.7746,68.610306,80.01503
88,75.93108,67.27886,73.8306
89,76.03746,69.11759,75.82391
90,72.65742,57.641644,70.037476
91,78.63761,53.746235,73.94673
92,79.432625,52.349083,75.198044
93,70.81186,47.762283,65.94705
94,76.92947,53.983253,72.780624
95,82.24323,52.301132,81.849815
96,71.08132,51.96973,68.426865
97,55.42379,49.29843,53.67079
98,52.889927,49.873466,50.908497
99,53.640575,44.003513,51.889595
100,55.858868,44.424187,53.683075
101,44.277603,42.532223,43.69356
102,56.886444,46.34687,52.0652
103,50.431118,42.13968,51.61303
104,56.78009,42.92206,53.582954
105,49.717815,45.053913,48.566948
106,50.11017,42.36744,48.81001
107,43.233917,28.753187,43.63339
108,44.481728,32.770508,43.449783
109,46.88338,34.433815,43.626793
110,34.138912,24.185993,33.41568
111,24.271847,24.061357,28.782343
112,37.63572,28.604622,34.8189
113,29.188728,29.486012,29.526981
114,33.575558,25.453762,29.543665
115,29.204823,27.99136,27.837963
116,30.784317,21.982758,28.646372
117,22.9692,22.277569,19.947056
118,24.066084,22.136803,23.69045
119,23.855543,19.995245,22.175957
120,20.88553,18.956673,18.548988
121,25.573914,18.355024,24.342901
122,26.233505,17.536716,23.16201
123,21.92127,26.186516,20.117033
124,23.543474,21.774385,21.475855
125,17.908161,16.498072,17.924177
126,15.207197,19.261705,15.826542
127,18.798342,14.45541,18.480324
128,13.257586,0.0,12.877561
129,17.505806,17.763437,15.210327
130,15.469294,16.983032,15.830646
131,12.860695,16.663084,14.173843
132,11.036628,0.0,9.533438
133,8.780929,7.3028717,8.943716
